#recomb_node_id	breakpoint-1_interval	breakpoint-2_interval	donor_node_id	donor_is_sibling	donor_parsimony	acceptor_node_id	acceptor_is_sibling	acceptor_parsimony	original_parsimony	min_starting_parsimony	recomb_parsimony
RECOMB_1_2_hCoV-19/Guangdong/GDCDC_SZHG_1004/2023|EPI_ISL_18035655|2023-05-17_hCoV-19/Nepal/2097/2020|EPI_ISL_754068|2020-07-30_X0	(0,405)	(10449,11956)	hCoV-19/Guangdong/GDCDC_SZHG_1004/2023|EPI_ISL_18035655|2023-05-17	y	79	hCoV-19/Nepal/2097/2020|EPI_ISL_754068|2020-07-30	y	20	10	10	3
RECOMB_1_14_hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04_hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04_X0	(0,241)	(23604,25378)	hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04	y	15	hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04	y	56	14	14	2
RECOMB_1_14_hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04_hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04_X0	(0,241)	(23854,25378)	hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04	y	15	hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04	y	56	14	14	2
RECOMB_1_14_hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04_hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04_X0	(0,241)	(23423,25378)	hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04	y	15	hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04	y	56	14	14	2
RECOMB_1_14_hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04_hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04_X0	(0,241)	(23525,25378)	hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04	y	15	hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04	y	56	14	14	2
RECOMB_1_14_hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04_hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04_X0	(0,241)	(23191,25378)	hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04	y	15	hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04	y	56	14	14	2
RECOMB_1_14_hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04_hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04_X0	(0,241)	(23599,25378)	hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04	y	15	hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04	y	56	14	14	2
RECOMB_1_14_hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04_hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04_X0	(0,241)	(24424,25378)	hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04	y	15	hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04	y	56	14	14	2
RECOMB_1_14_hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04_hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04_X0	(0,241)	(24469,25378)	hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04	y	15	hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04	y	56	14	14	2
RECOMB_1_14_hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04_hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04_X0	(0,241)	(24990,25378)	hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04	y	15	hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04	y	56	14	14	2
RECOMB_1_14_hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04_hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04_X0	(0,241)	(23271,25378)	hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04	y	15	hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04	y	56	14	14	2
RECOMB_1_14_hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04_hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04_X0	(0,241)	(25000,25378)	hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04	y	15	hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04	y	56	14	14	2
RECOMB_1_14_hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04_hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04_X0	(0,241)	(23403,25378)	hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04	y	15	hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04	y	56	14	14	2
RECOMB_1_14_hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04_hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04_X0	(0,241)	(23948,25378)	hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04	y	15	hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04	y	56	14	14	2
RECOMB_1_14_hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04_hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04_X0	(0,241)	(23222,25378)	hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04	y	15	hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04	y	56	14	14	2
RECOMB_1_14_hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04_hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04_X0	(0,241)	(24378,25378)	hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04	y	15	hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04	y	56	14	14	2
RECOMB_1_14_hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04_hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04_X0	(0,241)	(25207,25378)	hCoV-19/New_Zealand/24YA4594/2024|EPI_ISL_19275568|2024-06-04	y	15	hCoV-19/Sichuan/BZCDC-0335/2024|EPI_ISL_19558316|2024-11-04	y	56	14	14	2
RECOMB_1_9_hCoV-19/Madagascar/IPM-62159/2021|EPI_ISL_7722846|2021-05-11_hCoV-19/SouthKorea/KDCA102892/2022|EPI_ISL_14663194|2022-08-05_X0	(0,241)	(13261,22206)	hCoV-19/Madagascar/IPM-62159/2021|EPI_ISL_7722846|2021-05-11	y	12	hCoV-19/SouthKorea/KDCA102892/2022|EPI_ISL_14663194|2022-08-05	y	10	9	9	2
RECOMB_1_9_hCoV-19/Madagascar/IPM-62159/2021|EPI_ISL_7722846|2021-05-11_hCoV-19/SouthKorea/KDCA102892/2022|EPI_ISL_14663194|2022-08-05_X0	(0,241)	(21614,22206)	hCoV-19/Madagascar/IPM-62159/2021|EPI_ISL_7722846|2021-05-11	y	12	hCoV-19/SouthKorea/KDCA102892/2022|EPI_ISL_14663194|2022-08-05	y	10	9	9	2
RECOMB_1_9_hCoV-19/Madagascar/IPM-62159/2021|EPI_ISL_7722846|2021-05-11_hCoV-19/SouthKorea/KDCA102892/2022|EPI_ISL_14663194|2022-08-05_X0	(0,241)	(14408,21388)	hCoV-19/Madagascar/IPM-62159/2021|EPI_ISL_7722846|2021-05-11	y	12	hCoV-19/SouthKorea/KDCA102892/2022|EPI_ISL_14663194|2022-08-05	y	10	9	9	2
RECOMB_1_9_hCoV-19/Madagascar/IPM-62159/2021|EPI_ISL_7722846|2021-05-11_hCoV-19/SouthKorea/KDCA102892/2022|EPI_ISL_14663194|2022-08-05_X0	(819,3242)	(14408,21388)	hCoV-19/Madagascar/IPM-62159/2021|EPI_ISL_7722846|2021-05-11	y	12	hCoV-19/SouthKorea/KDCA102892/2022|EPI_ISL_14663194|2022-08-05	y	10	9	9	2
RECOMB_1_9_hCoV-19/Madagascar/IPM-62159/2021|EPI_ISL_7722846|2021-05-11_hCoV-19/SouthKorea/KDCA102892/2022|EPI_ISL_14663194|2022-08-05_X0	(819,3242)	(13261,22206)	hCoV-19/Madagascar/IPM-62159/2021|EPI_ISL_7722846|2021-05-11	y	12	hCoV-19/SouthKorea/KDCA102892/2022|EPI_ISL_14663194|2022-08-05	y	10	9	9	2
RECOMB_1_9_hCoV-19/Madagascar/IPM-62159/2021|EPI_ISL_7722846|2021-05-11_hCoV-19/SouthKorea/KDCA102892/2022|EPI_ISL_14663194|2022-08-05_X0	(819,3242)	(21614,22206)	hCoV-19/Madagascar/IPM-62159/2021|EPI_ISL_7722846|2021-05-11	y	12	hCoV-19/SouthKorea/KDCA102892/2022|EPI_ISL_14663194|2022-08-05	y	10	9	9	2
RECOMB_1_8_hCoV-19/Guatemala/2402-DLNS/2023|EPI_ISL_18669865|2023-11-27_hCoV-19/Malawi/KRISP-K010237/2021|EPI_ISL_1407181|2021-01-13_X0	(0,405)	(14925,15451)	hCoV-19/Guatemala/2402-DLNS/2023|EPI_ISL_18669865|2023-11-27	y	91	hCoV-19/Malawi/KRISP-K010237/2021|EPI_ISL_1407181|2021-01-13	y	30	19	19	3
RECOMB_1_12_hCoV-19/India/GJ-INSACOG-GBRC13590/2023|EPI_ISL_18457717|2023-09-24_hCoV-19/Kazakhstan/Arctic-68/2023|EPI_ISL_18321253|2023-01-09_X0	(0,405)	(9866,11296)	hCoV-19/India/GJ-INSACOG-GBRC13590/2023|EPI_ISL_18457717|2023-09-24	y	54	hCoV-19/Kazakhstan/Arctic-68/2023|EPI_ISL_18321253|2023-01-09	y	12	11	11	2
RECOMB_1_12_hCoV-19/India/GJ-INSACOG-GBRC13590/2023|EPI_ISL_18457717|2023-09-24_hCoV-19/Kazakhstan/Arctic-68/2023|EPI_ISL_18321253|2023-01-09_X0	(0,405)	(10198,11296)	hCoV-19/India/GJ-INSACOG-GBRC13590/2023|EPI_ISL_18457717|2023-09-24	y	54	hCoV-19/Kazakhstan/Arctic-68/2023|EPI_ISL_18321253|2023-01-09	y	12	11	11	2
RECOMB_1_12_hCoV-19/India/GJ-INSACOG-GBRC13590/2023|EPI_ISL_18457717|2023-09-24_hCoV-19/Kazakhstan/Arctic-68/2023|EPI_ISL_18321253|2023-01-09_X0	(0,405)	(10447,11296)	hCoV-19/India/GJ-INSACOG-GBRC13590/2023|EPI_ISL_18457717|2023-09-24	y	54	hCoV-19/Kazakhstan/Arctic-68/2023|EPI_ISL_18321253|2023-01-09	y	12	11	11	2
RECOMB_1_12_hCoV-19/India/GJ-INSACOG-GBRC13590/2023|EPI_ISL_18457717|2023-09-24_hCoV-19/Kazakhstan/Arctic-68/2023|EPI_ISL_18321253|2023-01-09_X0	(0,405)	(10449,11296)	hCoV-19/India/GJ-INSACOG-GBRC13590/2023|EPI_ISL_18457717|2023-09-24	y	54	hCoV-19/Kazakhstan/Arctic-68/2023|EPI_ISL_18321253|2023-01-09	y	12	11	11	2
RECOMB_1_12_hCoV-19/India/GJ-INSACOG-GBRC13590/2023|EPI_ISL_18457717|2023-09-24_hCoV-19/Kazakhstan/Arctic-68/2023|EPI_ISL_18321253|2023-01-09_X0	(0,405)	(10029,11296)	hCoV-19/India/GJ-INSACOG-GBRC13590/2023|EPI_ISL_18457717|2023-09-24	y	54	hCoV-19/Kazakhstan/Arctic-68/2023|EPI_ISL_18321253|2023-01-09	y	12	11	11	2
