#recomb_node_id	breakpoint-1_interval	breakpoint-2_interval	donor_node_id	donor_is_sibling	donor_parsimony	acceptor_node_id	acceptor_is_sibling	acceptor_parsimony	original_parsimony	min_starting_parsimony	recomb_parsimony
RECOMB_1_5_hCoV-19/Pakistan/NIH-AHF-S19/2023|EPI_ISL_18242888|2023-08-26_hCoV-19/India/MH-ICMR-NIV-242745/2024|EPI_ISL_19351724|2024-07-08_X0	(0,405)	(20310,21363)	hCoV-19/Pakistan/NIH-AHF-S19/2023|EPI_ISL_18242888|2023-08-26	y	59	hCoV-19/India/MH-ICMR-NIV-242745/2024|EPI_ISL_19351724|2024-07-08	y	40	24	24	3
RECOMB_1_7_hCoV-19/Qinghai/QCDC-HSZ-73/2023|EPI_ISL_17075223|2023-02-25_hCoV-19/Indonesia/JK-NIHRD-W04078/2023|EPI_ISL_18700438|2023-11-14_X0	(19326,20055)	(28881,GENOME_SIZE)	hCoV-19/Indonesia/JK-NIHRD-W04078/2023|EPI_ISL_18700438|2023-11-14	y	27	hCoV-19/Qinghai/QCDC-HSZ-73/2023|EPI_ISL_17075223|2023-02-25	y	50	26	26	3
RECOMB_1_7_hCoV-19/Qinghai/QCDC-HSZ-73/2023|EPI_ISL_17075223|2023-02-25_hCoV-19/Indonesia/JK-NIHRD-W04078/2023|EPI_ISL_18700438|2023-11-14_X0	(19326,20055)	(28883,GENOME_SIZE)	hCoV-19/Indonesia/JK-NIHRD-W04078/2023|EPI_ISL_18700438|2023-11-14	y	27	hCoV-19/Qinghai/QCDC-HSZ-73/2023|EPI_ISL_17075223|2023-02-25	y	50	26	26	3
RECOMB_1_7_hCoV-19/Qinghai/QCDC-HSZ-73/2023|EPI_ISL_17075223|2023-02-25_hCoV-19/Indonesia/JK-NIHRD-W04078/2023|EPI_ISL_18700438|2023-11-14_X0	(19326,20055)	(28882,GENOME_SIZE)	hCoV-19/Indonesia/JK-NIHRD-W04078/2023|EPI_ISL_18700438|2023-11-14	y	27	hCoV-19/Qinghai/QCDC-HSZ-73/2023|EPI_ISL_17075223|2023-02-25	y	50	26	26	3
RECOMB_1_7_hCoV-19/Qinghai/QCDC-HSZ-73/2023|EPI_ISL_17075223|2023-02-25_hCoV-19/Indonesia/JK-NIHRD-W04078/2023|EPI_ISL_18700438|2023-11-14_X0	(20178,20310)	(28882,GENOME_SIZE)	hCoV-19/Indonesia/JK-NIHRD-W04078/2023|EPI_ISL_18700438|2023-11-14	y	27	hCoV-19/Qinghai/QCDC-HSZ-73/2023|EPI_ISL_17075223|2023-02-25	y	50	26	26	3
RECOMB_1_7_hCoV-19/Qinghai/QCDC-HSZ-73/2023|EPI_ISL_17075223|2023-02-25_hCoV-19/Indonesia/JK-NIHRD-W04078/2023|EPI_ISL_18700438|2023-11-14_X0	(20178,20178)	(28882,GENOME_SIZE)	hCoV-19/Indonesia/JK-NIHRD-W04078/2023|EPI_ISL_18700438|2023-11-14	y	27	hCoV-19/Qinghai/QCDC-HSZ-73/2023|EPI_ISL_17075223|2023-02-25	y	50	26	26	3
RECOMB_1_7_hCoV-19/Qinghai/QCDC-HSZ-73/2023|EPI_ISL_17075223|2023-02-25_hCoV-19/Indonesia/JK-NIHRD-W04078/2023|EPI_ISL_18700438|2023-11-14_X0	(20178,20310)	(28723,GENOME_SIZE)	hCoV-19/Indonesia/JK-NIHRD-W04078/2023|EPI_ISL_18700438|2023-11-14	y	27	hCoV-19/Qinghai/QCDC-HSZ-73/2023|EPI_ISL_17075223|2023-02-25	y	50	26	26	3
RECOMB_1_7_hCoV-19/Qinghai/QCDC-HSZ-73/2023|EPI_ISL_17075223|2023-02-25_hCoV-19/Indonesia/JK-NIHRD-W04078/2023|EPI_ISL_18700438|2023-11-14_X0	(20178,20310)	(28881,GENOME_SIZE)	hCoV-19/Indonesia/JK-NIHRD-W04078/2023|EPI_ISL_18700438|2023-11-14	y	27	hCoV-19/Qinghai/QCDC-HSZ-73/2023|EPI_ISL_17075223|2023-02-25	y	50	26	26	3
RECOMB_1_7_hCoV-19/Qinghai/QCDC-HSZ-73/2023|EPI_ISL_17075223|2023-02-25_hCoV-19/Indonesia/JK-NIHRD-W04078/2023|EPI_ISL_18700438|2023-11-14_X0	(20178,20310)	(28883,GENOME_SIZE)	hCoV-19/Indonesia/JK-NIHRD-W04078/2023|EPI_ISL_18700438|2023-11-14	y	27	hCoV-19/Qinghai/QCDC-HSZ-73/2023|EPI_ISL_17075223|2023-02-25	y	50	26	26	3
RECOMB_1_4_hCoV-19/Greece/9057_HPI/2020|EPI_ISL_487379|2020-04-04_hCoV-19/India/WB-1931503364369/2022|EPI_ISL_17349752|2022-10-14_X0	(0,313)	(17302,21618)	hCoV-19/Greece/9057_HPI/2020|EPI_ISL_487379|2020-04-04	y	53	hCoV-19/India/WB-1931503364369/2022|EPI_ISL_17349752|2022-10-14	y	7	7	7	3
RECOMB_1_6_hCoV-19/Vietnam/BMH-200822-71/2022|EPI_ISL_14685788|2022-08-02_hCoV-19/Indonesia/JB-GS-WJHL-ITB-WGS190/2020|EPI_ISL_8825296|2020-11-16_X0	(0,670)	(14408,15714)	hCoV-19/Vietnam/BMH-200822-71/2022|EPI_ISL_14685788|2022-08-02	y	59	hCoV-19/Indonesia/JB-GS-WJHL-ITB-WGS190/2020|EPI_ISL_8825296|2020-11-16	y	20	13	13	3
RECOMB_1_6_hCoV-19/Vietnam/BMH-200822-71/2022|EPI_ISL_14685788|2022-08-02_hCoV-19/Indonesia/JB-GS-WJHL-ITB-WGS190/2020|EPI_ISL_8825296|2020-11-16_X0	(0,670)	(12880,15714)	hCoV-19/Vietnam/BMH-200822-71/2022|EPI_ISL_14685788|2022-08-02	y	59	hCoV-19/Indonesia/JB-GS-WJHL-ITB-WGS190/2020|EPI_ISL_8825296|2020-11-16	y	20	13	13	3
RECOMB_1_11_hCoV-19/Thailand/NIC_SRI_1895/2024|EPI_ISL_19370731|2024-08-07_hCoV-19/South_Korea/KDCA26284/2022|EPI_ISL_8929347|2022-01-05_X0	(0,670)	(8393,9344)	hCoV-19/Thailand/NIC_SRI_1895/2024|EPI_ISL_19370731|2024-08-07	y	88	hCoV-19/South_Korea/KDCA26284/2022|EPI_ISL_8929347|2022-01-05	y	20	19	19	3
RECOMB_1_11_hCoV-19/Thailand/NIC_SRI_1895/2024|EPI_ISL_19370731|2024-08-07_hCoV-19/South_Korea/KDCA26284/2022|EPI_ISL_8929347|2022-01-05_X0	(0,670)	(8293,9344)	hCoV-19/Thailand/NIC_SRI_1895/2024|EPI_ISL_19370731|2024-08-07	y	88	hCoV-19/South_Korea/KDCA26284/2022|EPI_ISL_8929347|2022-01-05	y	20	19	19	3
RECOMB_1_10_hCoV-19/Xinjiang/XJCDCKLMY-368/2023|EPI_ISL_18659012|2023-11-07_hCoV-19/Beijing/BJCDC-490/2022|EPI_ISL_16610281|2022-03-14_X0	(0,344)	(10977,12525)	hCoV-19/Xinjiang/XJCDCKLMY-368/2023|EPI_ISL_18659012|2023-11-07	y	67	hCoV-19/Beijing/BJCDC-490/2022|EPI_ISL_16610281|2022-03-14	y	24	20	20	4
RECOMB_1_10_hCoV-19/Xinjiang/XJCDCKLMY-368/2023|EPI_ISL_18659012|2023-11-07_hCoV-19/Beijing/BJCDC-490/2022|EPI_ISL_16610281|2022-03-14_X0	(0,344)	(12525,12781)	hCoV-19/Xinjiang/XJCDCKLMY-368/2023|EPI_ISL_18659012|2023-11-07	y	67	hCoV-19/Andorra/AND-253_220401288301_COV-GC/2022|EPI_ISL_11450485|2022-02-02	y	26	20	20	4
RECOMB_1_9_hCoV-19/Pakistan/KMU_PHRL_illum-1259/2024|EPI_ISL_19060470|2024-04-03_hCoV-19/Bangladesh/IEDCR-2200771/2023|EPI_ISL_17837239|2023-03-25_X0	(0,71)	(8393,9866)	hCoV-19/Pakistan/KMU_PHRL_illum-1259/2024|EPI_ISL_19060470|2024-04-03	y	69	hCoV-19/Bangladesh/IEDCR-2200771/2023|EPI_ISL_17837239|2023-03-25	y	17	17	17	3
RECOMB_1_9_hCoV-19/Pakistan/KMU_PHRL_illum-1259/2024|EPI_ISL_19060470|2024-04-03_hCoV-19/Bangladesh/IEDCR-2200771/2023|EPI_ISL_17837239|2023-03-25_X0	(0,71)	(9344,9866)	hCoV-19/Pakistan/KMU_PHRL_illum-1259/2024|EPI_ISL_19060470|2024-04-03	y	69	hCoV-19/Bangladesh/IEDCR-2200771/2023|EPI_ISL_17837239|2023-03-25	y	17	17	17	3
RECOMB_1_9_hCoV-19/Pakistan/KMU_PHRL_illum-1259/2024|EPI_ISL_19060470|2024-04-03_hCoV-19/Bangladesh/IEDCR-2200771/2023|EPI_ISL_17837239|2023-03-25_X0	(0,71)	(9424,9866)	hCoV-19/Pakistan/KMU_PHRL_illum-1259/2024|EPI_ISL_19060470|2024-04-03	y	69	hCoV-19/Bangladesh/IEDCR-2200771/2023|EPI_ISL_17837239|2023-03-25	y	17	17	17	3
RECOMB_1_9_hCoV-19/Pakistan/KMU_PHRL_illum-1259/2024|EPI_ISL_19060470|2024-04-03_hCoV-19/Bangladesh/IEDCR-2200771/2023|EPI_ISL_17837239|2023-03-25_X0	(0,71)	(9534,9866)	hCoV-19/Pakistan/KMU_PHRL_illum-1259/2024|EPI_ISL_19060470|2024-04-03	y	69	hCoV-19/Bangladesh/IEDCR-2200771/2023|EPI_ISL_17837239|2023-03-25	y	17	17	17	3
RECOMB_1_17_hCoV-19/South_Africa/NICD-N56019/2023|EPI_ISL_18125265|2023-07-04_hCoV-19/Vietnam/HCMC-S09-M189/2023|EPI_ISL_18909567|2023-12-22_X0	(0,405)	(19955,21622)	hCoV-19/South_Africa/NICD-N56019/2023|EPI_ISL_18125265|2023-07-04	y	49	hCoV-19/Vietnam/HCMC-S09-M189/2023|EPI_ISL_18909567|2023-12-22	y	32	12	12	3
RECOMB_1_17_hCoV-19/South_Africa/NICD-N56019/2023|EPI_ISL_18125265|2023-07-04_hCoV-19/Vietnam/HCMC-S09-M189/2023|EPI_ISL_18909567|2023-12-22_X0	(0,405)	(20055,21622)	hCoV-19/South_Africa/NICD-N56019/2023|EPI_ISL_18125265|2023-07-04	y	49	hCoV-19/Vietnam/HCMC-S09-M189/2023|EPI_ISL_18909567|2023-12-22	y	32	12	12	3
RECOMB_1_17_hCoV-19/South_Africa/NICD-N56019/2023|EPI_ISL_18125265|2023-07-04_hCoV-19/Vietnam/HCMC-S09-M189/2023|EPI_ISL_18909567|2023-12-22_X0	(0,405)	(21618,21622)	hCoV-19/South_Africa/NICD-N56019/2023|EPI_ISL_18125265|2023-07-04	y	49	hCoV-19/Vietnam/HCMC-S09-M189/2023|EPI_ISL_18909567|2023-12-22	y	32	12	12	3
RECOMB_1_17_hCoV-19/South_Africa/NICD-N56019/2023|EPI_ISL_18125265|2023-07-04_hCoV-19/Vietnam/HCMC-S09-M189/2023|EPI_ISL_18909567|2023-12-22_X0	(0,405)	(19326,21622)	hCoV-19/South_Africa/NICD-N56019/2023|EPI_ISL_18125265|2023-07-04	y	49	hCoV-19/Vietnam/HCMC-S09-M189/2023|EPI_ISL_18909567|2023-12-22	y	32	12	12	3
RECOMB_1_17_hCoV-19/South_Africa/NICD-N56019/2023|EPI_ISL_18125265|2023-07-04_hCoV-19/Vietnam/HCMC-S09-M189/2023|EPI_ISL_18909567|2023-12-22_X0	(19326,21622)	(28958,GENOME_SIZE)	hCoV-19/Vietnam/HCMC-S09-M189/2023|EPI_ISL_18909567|2023-12-22	y	32	hCoV-19/South_Africa/NICD-N56019/2023|EPI_ISL_18125265|2023-07-04	y	49	12	12	3
RECOMB_1_8_hCoV-19/India/KA-VRDL-BMCRI-1160/2023|EPI_ISL_17724915|2023-01-16_hCoV-19/Fujian/2021BD-VIR-SPE-1269/2021|EPI_ISL_15756110|2021-10-09_X0	(0,670)	(10449,12444)	hCoV-19/India/KA-VRDL-BMCRI-1160/2023|EPI_ISL_17724915|2023-01-16	y	85	hCoV-19/Fujian/2021BD-VIR-SPE-1269/2021|EPI_ISL_15756110|2021-10-09	y	34	28	28	6
RECOMB_1_8_hCoV-19/India/KA-VRDL-BMCRI-1160/2023|EPI_ISL_17724915|2023-01-16_hCoV-19/Fujian/2021BD-VIR-SPE-1269/2021|EPI_ISL_15756110|2021-10-09_X0	(0,670)	(14408,15318)	hCoV-19/India/KA-VRDL-BMCRI-1160/2023|EPI_ISL_17724915|2023-01-16	y	85	hCoV-19/Fujian/2021BD-VIR-SPE-1269/2021|EPI_ISL_15756110|2021-10-09	y	34	28	28	6
RECOMB_1_12_hCoV-19/Beijing/BJCDC-2612/2022|EPI_ISL_16642085|2022-11-05_hCoV-19/Yunnan/RLC78/2021|EPI_ISL_13005140|2021-04-06_X0	(0,210)	(24469,25000)	hCoV-19/Beijing/BJCDC-2612/2022|EPI_ISL_16642085|2022-11-05	y	33	hCoV-19/Yunnan/RLC78/2021|EPI_ISL_13005140|2021-04-06	y	61	13	13	3
