#recomb_node_id	breakpoint-1_interval	breakpoint-2_interval	donor_node_id	donor_is_sibling	donor_parsimony	acceptor_node_id	acceptor_is_sibling	acceptor_parsimony	original_parsimony	min_starting_parsimony	recomb_parsimony
RECOMB_2_2_hCoV-19/China/FU-P109-3/2020|EPI_ISL_19023590|2020-03-25_hCoV-19/Bangladesh/icddrb-12493/2023|EPI_ISL_17699543|2023-02-11_X0	(1367,2790)	(19326,19955)	hCoV-19/Bangladesh/icddrb-12493/2023|EPI_ISL_17699543|2023-02-11	y	67	hCoV-19/China/FU-P109-3/2020|EPI_ISL_19023590|2020-03-25	y	31	4	4	1
RECOMB_2_1_hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08_hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28_X0	(17859,18435)	(25000,25416)	hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28	y	24	hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08	y	21	7	7	1
RECOMB_2_1_hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08_hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28_X0	(17859,18435)	(23525,25416)	hCoV-19/India/WB-INSACOG-1930302202315/2023|EPI_ISL_18559611|2023-06-28	y	24	hCoV-19/Zhejiang/ZPCDCP-110/2022|EPI_ISL_17261612|2022-07-08	y	21	7	7	1
RECOMB_2_0_hCoV-19/Argentina/INEI123625/2022|EPI_ISL_17799747|2022-12-14_hCoV-19/Gansu/GSCDC-0987/2023|EPI_ISL_18769816|2023-12-02_X0	(13944,15451)	(26577,26858)	hCoV-19/Gansu/GSCDC-0987/2023|EPI_ISL_18769816|2023-12-02	y	32	hCoV-19/Argentina/INEI123625/2022|EPI_ISL_17799747|2022-12-14	y	37	16	16	2
RECOMB_2_0_hCoV-19/Argentina/INEI123625/2022|EPI_ISL_17799747|2022-12-14_hCoV-19/Gansu/GSCDC-0987/2023|EPI_ISL_18769816|2023-12-02_X0	(13944,15451)	(26709,26858)	hCoV-19/Gansu/GSCDC-0987/2023|EPI_ISL_18769816|2023-12-02	y	32	hCoV-19/Argentina/INEI123625/2022|EPI_ISL_17799747|2022-12-14	y	37	16	16	2
RECOMB_2_13_hCoV-19/India/GJ-GBRC251b/2020|EPI_ISL_483836|2020-06-12_hCoV-19/Beijing/BJCDC-1313/2022|EPI_ISL_16614361|2022-05-22_X0	(7393,9344)	(23854,23948)	hCoV-19/Beijing/BJCDC-1313/2022|EPI_ISL_16614361|2022-05-22	y	38	hCoV-19/India/GJ-GBRC251b/2020|EPI_ISL_483836|2020-06-12	y	40	7	7	1
RECOMB_2_18_hCoV-19/Romania/Arges_457845/2021|EPI_ISL_3911456|2021-06-02_hCoV-19/Indonesia/JK-BIOKES-W00397/2024|EPI_ISL_19262185|2024-04-06_X0	(20320,21618)	(23271,23423)	hCoV-19/Indonesia/JK-BIOKES-W00397/2024|EPI_ISL_19262185|2024-04-06	y	94	hCoV-19/Romania/Arges_457845/2021|EPI_ISL_3911456|2021-06-02	y	48	29	29	1
RECOMB_2_18_hCoV-19/Romania/Arges_457845/2021|EPI_ISL_3911456|2021-06-02_hCoV-19/Indonesia/JK-BIOKES-W00397/2024|EPI_ISL_19262185|2024-04-06_X0	(20320,21618)	(23403,23423)	hCoV-19/Indonesia/JK-BIOKES-W00397/2024|EPI_ISL_19262185|2024-04-06	y	94	hCoV-19/Romania/Arges_457845/2021|EPI_ISL_3911456|2021-06-02	y	48	29	29	1
RECOMB_2_3_hCoV-19/Ukraine/56-64184/2021|EPI_ISL_5881048|2021-09-21_hCoV-19/Myanmar/DSMRC-005/2021|EPI_ISL_849738|2021-01-09_X0	(4606,5884)	(14408,15451)	hCoV-19/Myanmar/DSMRC-005/2021|EPI_ISL_849738|2021-01-09	y	34	hCoV-19/Ukraine/56-64184/2021|EPI_ISL_5881048|2021-09-21	y	11	10	10	1
RECOMB_2_7_hCoV-19/India/UK-GMC-HLD-05-00198/2023|EPI_ISL_18908400|2023-10-25_hCoV-19/Sri_Lanka/CMC83991/2021|EPI_ISL_1233100|2021-02-17_X0	(4321,12534)	(28065,28881)	hCoV-19/Sri_Lanka/CMC83991/2021|EPI_ISL_1233100|2021-02-17	y	15	hCoV-19/India/UK-GMC-HLD-05-00198/2023|EPI_ISL_18908400|2023-10-25	y	14	14	14	2
RECOMB_2_4_hCoV-19/India/AS-INSACOG-1829700709641/2021|EPI_ISL_9056375|2021-09-29_hCoV-19/Indonesia/JI-ITD-58889N/2022|EPI_ISL_16520881|2022-10-14_X0	(2790,3037)	(10449,12160)	hCoV-19/Indonesia/JI-ITD-58889N/2022|EPI_ISL_16520881|2022-10-14	y	77	hCoV-19/India/AS-INSACOG-1829700709641/2021|EPI_ISL_9056375|2021-09-29	y	17	17	17	3
RECOMB_2_6_hCoV-19/Indonesia/JK-BIOKES-W00377/2024|EPI_ISL_19262117|2024-04-01_hCoV-19/Tunisia/V-1932/2021|EPI_ISL_8298431|2021-09-15_X0	(3565,4181)	(11201,11332)	hCoV-19/Tunisia/V-1932/2021|EPI_ISL_8298431|2021-09-15	y	122	hCoV-19/Indonesia/JK-BIOKES-W00377/2024|EPI_ISL_19262117|2024-04-01	y	23	15	15	1
RECOMB_2_11_hCoV-19/Chongqing/CQCDC-5471/2023|EPI_ISL_19080670|2023-10-14_hCoV-19/India/TN-CDFD-W6-97/2022|EPI_ISL_12354645|2022-04-02_X0	(17859,18163)	(27382,27507)	hCoV-19/India/TN-CDFD-W6-97/2022|EPI_ISL_12354645|2022-04-02	y	21	hCoV-19/Chongqing/CQCDC-5471/2023|EPI_ISL_19080670|2023-10-14	y	31	12	12	1
RECOMB_2_11_hCoV-19/Chongqing/CQCDC-5471/2023|EPI_ISL_19080670|2023-10-14_hCoV-19/India/TN-CDFD-W6-97/2022|EPI_ISL_12354645|2022-04-02_X0	(17859,18163)	(26709,27507)	hCoV-19/India/TN-CDFD-W6-97/2022|EPI_ISL_12354645|2022-04-02	y	21	hCoV-19/Chongqing/CQCDC-5471/2023|EPI_ISL_19080670|2023-10-14	y	31	12	12	1
RECOMB_2_11_hCoV-19/Chongqing/CQCDC-5471/2023|EPI_ISL_19080670|2023-10-14_hCoV-19/India/TN-CDFD-W6-97/2022|EPI_ISL_12354645|2022-04-02_X0	(17859,18163)	(26858,27507)	hCoV-19/India/TN-CDFD-W6-97/2022|EPI_ISL_12354645|2022-04-02	y	21	hCoV-19/Chongqing/CQCDC-5471/2023|EPI_ISL_19080670|2023-10-14	y	31	12	12	1
RECOMB_2_11_hCoV-19/Chongqing/CQCDC-5471/2023|EPI_ISL_19080670|2023-10-14_hCoV-19/India/TN-CDFD-W6-97/2022|EPI_ISL_12354645|2022-04-02_X0	(17859,18163)	(27259,27507)	hCoV-19/India/TN-CDFD-W6-97/2022|EPI_ISL_12354645|2022-04-02	y	21	hCoV-19/Chongqing/CQCDC-5471/2023|EPI_ISL_19080670|2023-10-14	y	31	12	12	1
RECOMB_2_11_hCoV-19/Chongqing/CQCDC-5471/2023|EPI_ISL_19080670|2023-10-14_hCoV-19/India/TN-CDFD-W6-97/2022|EPI_ISL_12354645|2022-04-02_X0	(17859,18163)	(27384,27507)	hCoV-19/India/TN-CDFD-W6-97/2022|EPI_ISL_12354645|2022-04-02	y	21	hCoV-19/Chongqing/CQCDC-5471/2023|EPI_ISL_19080670|2023-10-14	y	31	12	12	1
RECOMB_2_11_hCoV-19/Chongqing/CQCDC-5471/2023|EPI_ISL_19080670|2023-10-14_hCoV-19/India/TN-CDFD-W6-97/2022|EPI_ISL_12354645|2022-04-02_X0	(17859,18163)	(26577,27507)	hCoV-19/India/TN-CDFD-W6-97/2022|EPI_ISL_12354645|2022-04-02	y	21	hCoV-19/Chongqing/CQCDC-5471/2023|EPI_ISL_19080670|2023-10-14	y	31	12	12	1
RECOMB_2_11_hCoV-19/Chongqing/CQCDC-5471/2023|EPI_ISL_19080670|2023-10-14_hCoV-19/India/TN-CDFD-W6-97/2022|EPI_ISL_12354645|2022-04-02_X0	(17859,18163)	(27383,27507)	hCoV-19/India/TN-CDFD-W6-97/2022|EPI_ISL_12354645|2022-04-02	y	21	hCoV-19/Chongqing/CQCDC-5471/2023|EPI_ISL_19080670|2023-10-14	y	31	12	12	1
RECOMB_2_10_hCoV-19/Uzbekistan/334/2021|EPI_ISL_3188970|2021-06-25_hCoV-19/India/OR-RMRC_B-ICMR-INSACOG-ILI-2505/2024|EPI_ISL_19434886|2024-07-20_X0	(22108,22200)	(26709,26833)	hCoV-19/India/OR-RMRC_B-ICMR-INSACOG-ILI-2505/2024|EPI_ISL_19434886|2024-07-20	y	80	hCoV-19/Uzbekistan/334/2021|EPI_ISL_3188970|2021-06-25	y	59	23	23	2
RECOMB_2_9_hCoV-19/Shanxi/JCCDC-JCCX0393/2023|EPI_ISL_18401919|2023-08-21_hCoV-19/Kazakhstan/ALA-NRL-77S/2021|EPI_ISL_2162126|2021-03-17_X0	(5388,5986)	(23709,24424)	hCoV-19/Kazakhstan/ALA-NRL-77S/2021|EPI_ISL_2162126|2021-03-17	y	46	hCoV-19/SouthKorea/KDCA280870/2023|EPI_ISL_18752123|2023-12-04	y	20	19	19	3
RECOMB_2_9_hCoV-19/Shanxi/JCCDC-JCCX0393/2023|EPI_ISL_18401919|2023-08-21_hCoV-19/Kazakhstan/ALA-NRL-77S/2021|EPI_ISL_2162126|2021-03-17_X0	(5388,5986)	(24424,24469)	hCoV-19/Kazakhstan/ALA-NRL-77S/2021|EPI_ISL_2162126|2021-03-17	y	46	hCoV-19/Shanxi/JCCDC-JCCX0393/2023|EPI_ISL_18401919|2023-08-21	y	83	19	19	3
RECOMB_2_12_hCoV-19/Cameroon/CERI-KRISP-K040897/2021|EPI_ISL_12650884|2021-10-29_hCoV-19/Switzerland/GE-HUG-34808494/2021|EPI_ISL_3151435|2021-07-19_X0	(5386,6402)	(22917,23525)	hCoV-19/Switzerland/GE-HUG-34808494/2021|EPI_ISL_3151435|2021-07-19	y	36	hCoV-19/Cameroon/CERI-KRISP-K040897/2021|EPI_ISL_12650884|2021-10-29	y	16	16	16	1
RECOMB_2_12_hCoV-19/Cameroon/CERI-KRISP-K040897/2021|EPI_ISL_12650884|2021-10-29_hCoV-19/Switzerland/GE-HUG-34808494/2021|EPI_ISL_3151435|2021-07-19_X0	(5386,6402)	(22995,23525)	hCoV-19/Switzerland/GE-HUG-34808494/2021|EPI_ISL_3151435|2021-07-19	y	36	hCoV-19/Cameroon/CERI-KRISP-K040897/2021|EPI_ISL_12650884|2021-10-29	y	16	16	16	1
RECOMB_2_19_hCoV-19/Guangdong/5648/2021|EPI_ISL_16138237|2021-05-27_hCoV-19/Guangdong/IVDC-05-12/2021|EPI_ISL_2405175|2021-05-29_X0	(14676,15096)	(27638,27739)	hCoV-19/Guangdong/IVDC-05-12/2021|EPI_ISL_2405175|2021-05-29	y	38	hCoV-19/Guangdong/5648/2021|EPI_ISL_16138237|2021-05-27	y	26	20	20	2
